name,links
US Cremonese,https://www.worldfootball.net/teams/us-cremonese/
CD Santa Clara,https://www.worldfootball.net/teams/cd-santa-clara/
Ümraniyespor,https://www.worldfootball.net/teams/uemraniyespor/
Kilmarnock FC,https://www.worldfootball.net/teams/kilmarnock-fc/
PAS Giannina,https://www.worldfootball.net/teams/pas-giannina/
AC Monza,https://www.worldfootball.net/teams/ac-monza/
Kayserispor,https://www.worldfootball.net/teams/kayserispor/
PSV Eindhoven,https://www.worldfootball.net/teams/psv-eindhoven/
Royale Union Saint Gilloise,https://www.worldfootball.net/teams/union-saint-gilloise/
Sint-Truidense VV,https://www.worldfootball.net/teams/sint-truidense-vv/
Rukh Lviv,https://www.worldfootball.net/teams/rukh-lviv/
Ionikos Nikeas,https://www.worldfootball.net/teams/ionikos-nikea/
SC Freiburg,https://www.worldfootball.net/teams/sc-freiburg/
US Sassuolo,https://www.worldfootball.net/teams/sassuolo-calcio/
Fatih Karagümrük,https://www.worldfootball.net/teams/fatih-karaguemruek-sk/
RC Strasbourg Alsace,https://www.worldfootball.net/teams/rc-strasbourg/
KAA Gent,https://www.worldfootball.net/teams/kaa-gent/
FC Utrecht,https://www.worldfootball.net/teams/fc-utrecht/
Konyaspor,https://www.worldfootball.net/teams/konyaspor/
Boavista FC,https://www.worldfootball.net/teams/fc-boavista/
St. Johnstone FC,https://www.worldfootball.net/teams/st-johnstone-fc/
Cádiz CF,https://www.worldfootball.net/teams/cadiz-cf/
Oud-Heverlee Leuven,https://www.worldfootball.net/teams/oud-heverlee-leuven/
FC Nordsjaelland,https://www.worldfootball.net/teams/fc-nordsjaelland/
SV Zulte Waregem,https://www.worldfootball.net/teams/sv-zulte-waregem/
Inter Milan,https://www.worldfootball.net/teams/inter/
FC Pari Nizhniy Novgorod,https://www.worldfootball.net/teams/fk-nizhny-novgorod/
Chelsea FC,https://www.worldfootball.net/teams/chelsea-fc/
Olympiacos Piraeus,https://www.worldfootball.net/teams/olympiakos-piraeus/
SV Werder Bremen,https://www.worldfootball.net/teams/werder-bremen/
FC Midtjylland,https://www.worldfootball.net/teams/fc-midtjylland/
Zorya Lugansk,https://www.worldfootball.net/teams/zorya-lugansk/
LOSC Lille,https://www.worldfootball.net/teams/lille-osc/
FK Krasnodar,https://www.worldfootball.net/teams/fk-krasnodar/
Southampton FC,https://www.worldfootball.net/teams/southampton-fc/
Twente Enschede FC,https://www.worldfootball.net/teams/fc-twente/
Dynamo Kyiv,https://www.worldfootball.net/teams/dinamo-kiev/
Adana Demirspor,https://www.worldfootball.net/teams/adana-demirspor/
Antalyaspor,https://www.worldfootball.net/teams/antalyaspor/
Basaksehir FK,https://www.worldfootball.net/teams/istanbul-basaksehir/
FC Vizela,https://www.worldfootball.net/teams/fc-vizela/1/
Nottingham Forest,https://www.worldfootball.net/teams/nottingham-forest/
Hatayspor,https://www.worldfootball.net/teams/hatayspor/
MKE Ankaragücü,https://www.worldfootball.net/teams/mke-ankaraguecue/
Olympique Lyon,https://www.worldfootball.net/teams/olympique-lyon/
FC Barcelona,https://www.worldfootball.net/teams/fc-barcelona/
FC Schalke 04,https://www.worldfootball.net/teams/fc-schalke-04/
Sporting CP,https://www.worldfootball.net/teams/sporting-cp/
Newcastle United,https://www.worldfootball.net/teams/newcastle-united/
Crystal Palace,https://www.worldfootball.net/teams/crystal-palace/
AFC Bournemouth,https://www.worldfootball.net/teams/afc-bournemouth/
US Lecce,https://www.worldfootball.net/teams/us-lecce/
Bologna FC 1909,https://www.worldfootball.net/teams/bologna-fc/
FK Rostov,https://www.worldfootball.net/teams/fk-rostov/
Ural Yekaterinburg,https://www.worldfootball.net/teams/fk-ural/
KRC Genk,https://www.worldfootball.net/teams/krc-genk/
KAS Eupen,https://www.worldfootball.net/teams/kas-eupen/
GD Estoril Praia,https://www.worldfootball.net/teams/gd-estoril/
RSC Charleroi,https://www.worldfootball.net/teams/sporting-charleroi/
Borussia Mönchengladbach,https://www.worldfootball.net/teams/bor-moenchengladbach/
RKC Waalwijk,https://www.worldfootball.net/teams/rkc-waalwijk/
RB Leipzig,https://www.worldfootball.net/teams/rb-leipzig/
Bayern Munich,https://www.worldfootball.net/teams/bayern-muenchen/
Stade Rennais FC,https://www.worldfootball.net/teams/stade-rennais/
Atromitos Athen,https://www.worldfootball.net/teams/atromitos/
Clermont Foot 63,https://www.worldfootball.net/teams/clermont-foot-63/
1.FSV Mainz 05,https://www.worldfootball.net/teams/1-fsv-mainz-05/
Torino FC,https://www.worldfootball.net/teams/torino-fc/
Aarhus GF,https://www.worldfootball.net/teams/aarhus-gf/
VfL Bochum,https://www.worldfootball.net/teams/vfl-bochum/
Montpellier HSC,https://www.worldfootball.net/teams/montpellier-hsc/
Villarreal CF,https://www.worldfootball.net/teams/villarreal-cf/
Royal Antwerp FC,https://www.worldfootball.net/teams/royal-antwerp-fc/
Torpedo Moscow,https://www.worldfootball.net/teams/torpedo-moskva/
AS Roma,https://www.worldfootball.net/teams/as-roma/
Rangers FC,https://www.worldfootball.net/teams/rangers-fc/
Stade Reims,https://www.worldfootball.net/teams/stade-reims/
Feyenoord Rotterdam,https://www.worldfootball.net/teams/feyenoord/
Eintracht Frankfurt,https://www.worldfootball.net/teams/eintracht-frankfurt/
AEK Athens,https://www.worldfootball.net/teams/aek-athen/
SS Lazio,https://www.worldfootball.net/teams/lazio-roma/
Wolverhampton Wanderers,https://www.worldfootball.net/teams/wolverhampton-wanderers/
Metalist 1925 Kharkiv,https://www.worldfootball.net/teams/metalist-1925-kharkiv/
RSC Anderlecht,https://www.worldfootball.net/teams/rsc-anderlecht/
SK Dnipro-1,https://www.worldfootball.net/teams/sk-dnipro-1/
Portimonense SC,https://www.worldfootball.net/teams/portimonense-sc/
Kasimpasa,https://www.worldfootball.net/teams/kasimpasa-sk/
Brentford FC,https://www.worldfootball.net/teams/brentford-fc/
FC Lorient,https://www.worldfootball.net/teams/fc-lorient/
Brighton & Hove Albion,
Tottenham Hotspur,https://www.worldfootball.net/teams/tottenham-hotspur/
1.FC Köln,https://www.worldfootball.net/teams/1-fc-koeln/
Liverpool FC,https://www.worldfootball.net/teams/liverpool-fc/
Fenerbahce,https://www.worldfootball.net/teams/fenerbahce/
West Ham United,https://www.worldfootball.net/teams/west-ham-united/
Fortuna Sittard,https://www.worldfootball.net/teams/fortuna-sittard/
Stade Brestois 29,https://www.worldfootball.net/teams/stade-brest/
Aston Villa,https://www.worldfootball.net/teams/aston-villa/
OGC Nice,https://www.worldfootball.net/teams/ogc-nice/
Real Madrid,https://www.worldfootball.net/teams/real-madrid/
NEC Nijmegen,https://www.worldfootball.net/teams/nec-nijmegen/
SSC Napoli,https://www.worldfootball.net/teams/ssc-napoli/
FC Porto,https://www.worldfootball.net/teams/fc-porto/
Fulham FC,https://www.worldfootball.net/teams/fulham-fc/
KVC Westerlo,https://www.worldfootball.net/teams/kvc-westerlo/
AZ Alkmaar,https://www.worldfootball.net/teams/az-alkmaar/
Fakel Voronezh,https://www.worldfootball.net/teams/fakel-voronezh/
Galatasaray,https://www.worldfootball.net/teams/galatasaray/
AS Monaco,https://www.worldfootball.net/teams/as-monaco/
Club Brugge KV,https://www.worldfootball.net/teams/club-brugge-kv/
Sivasspor,https://www.worldfootball.net/teams/sivasspor/
AC Horsens,https://www.worldfootball.net/teams/ac-horsens/
Gil Vicente FC,https://www.worldfootball.net/teams/gil-vicente/
RFC Seraing,https://www.worldfootball.net/teams/rfc-seraing/1/
KV Oostende,https://www.worldfootball.net/teams/kv-oostende/
FC Famalicão,https://www.worldfootball.net/teams/fc-famalicao/
Celtic FC,https://www.worldfootball.net/teams/celtic-fc/
FC Sochi,https://www.worldfootball.net/teams/fc-zhemchuzhina-sochi/
OFI Crete FC,https://www.worldfootball.net/teams/ofi-heraklion/
FC Arouca,https://www.worldfootball.net/teams/fc-arouca/
Valencia CF,https://www.worldfootball.net/teams/valencia-cf/
Silkeborg IF,https://www.worldfootball.net/teams/silkeborg-if/
FC Emmen,https://www.worldfootball.net/teams/fc-emmen/
Rio Ave FC,https://www.worldfootball.net/teams/rio-ave-fc/
Ross County FC,https://www.worldfootball.net/teams/ross-county-fc/
FK Khimki,https://www.worldfootball.net/teams/fk-khimki/
Kolos Kovalivka,https://www.worldfootball.net/teams/kolos-kovalivka/
Ingulets Petrove,https://www.worldfootball.net/teams/inhulets-petrove/
Cercle Brugge,https://www.worldfootball.net/teams/cercle-brugge/
Ajax Amsterdam,https://www.worldfootball.net/teams/afc-ajax/
RC Lens,https://www.worldfootball.net/teams/rc-lens/
Manchester United,https://www.worldfootball.net/teams/manchester-united/
PAOK Thessaloniki,https://www.worldfootball.net/teams/paok-saloniki/
Giresunspor,https://www.worldfootball.net/teams/giresunspor/
Atlético de Madrid,https://www.worldfootball.net/teams/atletico-madrid/
Go Ahead Eagles,https://www.worldfootball.net/teams/go-ahead-eagles/
FK Orenburg,https://www.worldfootball.net/teams/fk-orenburg/1/
Borussia Dortmund,https://www.worldfootball.net/teams/borussia-dortmund/
Bröndby IF,https://www.worldfootball.net/teams/broendby-if/
Spartak Moscow,https://www.worldfootball.net/teams/spartak-moskva/
Hellas Verona,https://www.worldfootball.net/teams/hellas-verona/
Manchester City,https://www.worldfootball.net/teams/manchester-city/
UD Almería,https://www.worldfootball.net/teams/ud-almeria/
Sevilla FC,https://www.worldfootball.net/teams/sevilla-fc/
PAS Lamia 1964,https://www.worldfootball.net/teams/lamia/
ACF Fiorentina,https://www.worldfootball.net/teams/acf-fiorentina/
Juventus FC,https://www.worldfootball.net/teams/juventus/
Hibernian FC,https://www.worldfootball.net/teams/hibernian-fc/
AC Ajaccio,https://www.worldfootball.net/teams/ac-ajaccio/
CS Marítimo,https://www.worldfootball.net/teams/cs-maritimo/
SC Cambuur Leeuwarden,https://www.worldfootball.net/teams/sc-cambuur/
FC Copenhagen,https://www.worldfootball.net/teams/fc-koebenhavn/
RCD Mallorca,https://www.worldfootball.net/teams/rcd-mallorca/
CSKA Moscow,https://www.worldfootball.net/teams/cska-moskva/
Olympique Marseille,https://www.worldfootball.net/teams/olympique-marseille/
FC Paços de Ferreira,https://www.worldfootball.net/teams/pacos-de-ferreira/
Casa Pia AC,https://www.worldfootball.net/teams/casa-pia-ac/
Kryvbas Kryvyi Rig,https://www.worldfootball.net/teams/kryvbas-kryvyi-rih/
Real Valladolid CF,https://www.worldfootball.net/teams/real-valladolid/
TSG 1899 Hoffenheim,https://www.worldfootball.net/teams/1899-hoffenheim/
Aris Thessaloniki,https://www.worldfootball.net/teams/aris-saloniki/
Volos NPS,https://www.worldfootball.net/teams/volos-nfc/
1.FC Union Berlin,https://www.worldfootball.net/teams/1-fc-union-berlin/
FC Nantes,https://www.worldfootball.net/teams/fc-nantes/
Leicester City,https://www.worldfootball.net/teams/leicester-city/
Arsenal FC,https://www.worldfootball.net/teams/arsenal-fc/
Angers SCO,https://www.worldfootball.net/teams/angers-sco/
Real Betis Balompié,https://www.worldfootball.net/teams/real-betis/
FC Augsburg,https://www.worldfootball.net/teams/fc-augsburg/
Panathinaikos Athens,https://www.worldfootball.net/teams/panathinaikos/
APO Levadiakos,https://www.worldfootball.net/teams/levadiakos/
Krylya Sovetov Samara,https://www.worldfootball.net/teams/krylia-sovetov/
Gaziantep FK,https://www.worldfootball.net/teams/gaziantep-fk/
SC Heerenveen,https://www.worldfootball.net/teams/sc-heerenveen/
Lyngby BK,https://www.worldfootball.net/teams/lyngby-bk/
Aberdeen FC,https://www.worldfootball.net/teams/aberdeen-fc/
Akhmat Grozny,https://www.worldfootball.net/teams/akhmat-grozny/
Hertha BSC,https://www.worldfootball.net/teams/hertha-bsc/
Vitesse Arnhem,https://www.worldfootball.net/teams/vitesse/
AC Milan,https://www.worldfootball.net/teams/ac-milan/
Randers FC,https://www.worldfootball.net/teams/randers-fc/
Athletic Bilbao,https://www.worldfootball.net/teams/athletic-bilbao/
Asteras Tripolis,https://www.worldfootball.net/teams/asteras-tripolis/
Real Sociedad,https://www.worldfootball.net/teams/real-sociedad/
Chornomorets Odessa,https://www.worldfootball.net/teams/chernomorets-odessa/
RCD Espanyol Barcelona,https://www.worldfootball.net/teams/espanyol-barcelona/
FC Volendam,https://www.worldfootball.net/teams/fc-volendam/
Atalanta BC,https://www.worldfootball.net/teams/atalanta/
Lokomotiv Moscow,https://www.worldfootball.net/teams/lokomotiv-moskva/
Everton FC,https://www.worldfootball.net/teams/everton-fc/
AJ Auxerre,https://www.worldfootball.net/teams/aj-auxerre/
Standard Liège,https://www.worldfootball.net/teams/standard-liege/
FK Minaj,https://www.worldfootball.net/teams/fc-mynai/
ESTAC Troyes,https://www.worldfootball.net/teams/estac-troyes/
Alanyaspor,https://www.worldfootball.net/teams/alanyaspor/
Besiktas JK,https://www.worldfootball.net/teams/besiktas/
Vitória Guimarães SC,https://www.worldfootball.net/teams/vitoria-guimaraes/
SL Benfica,https://www.worldfootball.net/teams/sl-benfica/
CA Osasuna,https://www.worldfootball.net/teams/ca-osasuna/
Spezia Calcio,https://www.worldfootball.net/teams/spezia-calcio/
KV Mechelen,https://www.worldfootball.net/teams/kv-mechelen/
Leeds United,https://www.worldfootball.net/teams/leeds-united/
Udinese Calcio,https://www.worldfootball.net/teams/udinese-calcio/
Paris Saint-Germain,https://www.worldfootball.net/teams/paris-saint-germain/
KV Kortrijk,https://www.worldfootball.net/teams/kv-kortrijk/
Excelsior Rotterdam,https://www.worldfootball.net/teams/sbv-excelsior/
Istanbulspor,https://www.worldfootball.net/teams/istanbulspor-as/
UC Sampdoria,https://www.worldfootball.net/teams/sampdoria/
Aalborg BK,https://www.worldfootball.net/teams/aalborg-bk/
SC Braga,https://www.worldfootball.net/teams/sporting-braga/
Girona FC,https://www.worldfootball.net/teams/girona-fc/
Livingston FC,https://www.worldfootball.net/teams/livingston-fc/
Bayer 04 Leverkusen,https://www.worldfootball.net/teams/bayer-leverkusen/
Dundee United FC,https://www.worldfootball.net/teams/dundee-united/
Elche CF,https://www.worldfootball.net/teams/elche-cf/
FC Groningen,https://www.worldfootball.net/teams/fc-groningen/
GD Chaves,https://www.worldfootball.net/teams/gd-chaves/
FC Toulouse,https://www.worldfootball.net/teams/toulouse-fc/
Trabzonspor,https://www.worldfootball.net/teams/trabzonspor/
Panetolikos GFS,https://www.worldfootball.net/teams/panetolikos/
VfB Stuttgart,https://www.worldfootball.net/teams/vfb-stuttgart/
Metalist Kharkiv,https://www.worldfootball.net/teams/metalist-kharkiv/
Zenit St. Petersburg,https://www.worldfootball.net/teams/zenit-st-petersburg/
Viborg FF,https://www.worldfootball.net/teams/viborg-ff/
Dynamo Moscow,https://www.worldfootball.net/teams/dinamo-moskva/
Rayo Vallecano,https://www.worldfootball.net/teams/rayo-vallecano/
Getafe CF,https://www.worldfootball.net/teams/getafe-cf/
US Salernitana 1919,https://www.worldfootball.net/teams/us-salernitana-1919/
Heart of Midlothian FC,https://www.worldfootball.net/teams/heart-of-midlothian/
St. Mirren FC,https://www.worldfootball.net/teams/st-mirren-fc/
Sparta Rotterdam,https://www.worldfootball.net/teams/sparta-rotterdam/
Shakhtar Donetsk,https://www.worldfootball.net/teams/shakhtar-donetsk/
FC Empoli,https://www.worldfootball.net/teams/empoli-fc/
VfL Wolfsburg,https://www.worldfootball.net/teams/vfl-wolfsburg/
Celta de Vigo,https://www.worldfootball.net/teams/celta-vigo/
Motherwell FC,https://www.worldfootball.net/teams/motherwell-fc/
Portsmouth FC,https://www.worldfootball.net/teams/portsmouth-fc/
